Date,Country,LocationName,SpeciesCode,DuckCount
2020/03/01,Netherlands,Amsterdam--Schiphol Airport,mallar3,2
2020/03/02,Netherlands,"Korftlaan, Delftse Hout",mallar3,1
2020/03/03,Netherlands,"Noordermeerdijk, Creil, Flevoland, NL (52,774, 5,605)",mallar3,30
2020/03/04,Netherlands,Autrichepolder (Westdorpe),mallar3,1
2020/03/05,Netherlands,Keent--Nevengeul,mallar3,35
2020/03/06,Netherlands,"2831, Gouderak NL-Zuid-Holland 51.97738, 4.69900",mallar3,6
2020/03/07,Netherlands,Maastricht--Monseigneur Nolenspark/Stadspark,mallar3,1
2020/03/08,Netherlands,Renswoude--Lunterse Beek,mallar3,10
2020/03/09,Netherlands,Brakkenstein,mallar3,2
2020/03/10,Netherlands,maarssen,mallar3,4
2020/03/11,Netherlands,"4 1e Polderweg, Utrecht, Utrecht, NL (52.12, 5.089)",mallar3,13
2020/03/12,Netherlands,Golfbaan Lelystad,mallar3,4
2020/03/13,Netherlands,Sint-Oedenrode--Dommelpark,mallar3,5
2020/03/14,Netherlands,Het Bossche Broek,mallar3,1
2020/03/15,Netherlands,Dommeldal--Uitkijktoren Heezelaar,mallar3,26
2020/03/16,Netherlands,Park Oog in Al,mallar3,2
2020/03/17,Netherlands,"Vondelpark, Amsterdam NL-North Holland 52.35718, 4.86851",mallar3,5
2020/03/18,Netherlands,Sint-Oedenrode--Hildewarelaan 3,mallar3,1
2020/03/19,Netherlands,"Balkenweg, Assen NL-Drenthe 52.99282, 6.52453",mallar3,2
2020/03/20,Netherlands,Milsbeek--Leemputten,mallar3,3
2020/03/21,Netherlands,Kraaijenbergse plassen--Plas 5,mallar3,20
2020/03/22,Netherlands,"Westpolderplas, Etten-Leur NL-Noord-Brabant",mallar3,10
2020/03/23,Netherlands,"Naarderbos, Naarden NL-Noord-Holland 52.31075, 5.14236",mallar3,6
2020/03/24,Netherlands,Natuurontwikkelingsgebied Willeskop,mallar3,1
2020/03/25,Netherlands,"Renkum, Gelderland, NL (51,971, 5,738)",mallar3,10
2020/03/26,Netherlands,"111 Bangkokdreef, Utrecht, Utrecht, NL (52.123, 5.104)",mallar3,10
2020/03/27,Netherlands,Stellendam--Tij,mallar3,20
2020/03/28,Netherlands,"Dommel De Berg, Sint-Oedenrode",mallar3,2
2020/03/29,Netherlands,Zegenpolder Rhoon,mallar3,6
2020/03/30,Netherlands,Polder Vogelzang,mallar3,23
2020/03/31,Netherlands,"Nieuwleusenerdijk, Zwolle NL-Overijssel 52.53203, 6.15747",mallar3,1
2021/03/01,Netherlands,IJsselstein--De Hoge Akker,mallar3,2
2021/03/02,Netherlands,"17A Jan Tooropplantsoen, Amstelveen, Noord-Holland, NL (52.324, 4.855)",mallar3,1
2021/03/03,Netherlands,"26 Imstenrade, Amsterdam, Noord-Holland, NL (52.324, 4.874)",mallar3,1
2021/03/04,Netherlands,Ramspol bij Ens,mallar3,2
2021/03/05,Netherlands,"26 Imstenrade, Amsterdam, Noord-Holland, NL (52.324, 4.874)",mallar3,1
2021/03/06,Netherlands,"4 Professor W.H. Keesomlaan, Amstelveen, Noord-Holland, NL (52.318, 4.882)",mallar3,1
2021/03/07,Netherlands,Landgoed De Horsten,mallar3,41
2021/03/08,Netherlands,Campus Wageningen University,mallar3,18
2021/03/09,Netherlands,"Arboretum Heempark, Delft NL-South Holland 52.01539, 4.37636",mallar3,4
2021/03/10,Netherlands,Wageningen--Egelsteeg,mallar3,3
2021/03/11,Netherlands,Wageningen--Egelsteeg,mallar3,23
2021/03/12,Netherlands,Violenberg,mallar3,6
2021/03/13,Netherlands,Golfbaan Lelystad,mallar3,6
2021/03/14,Netherlands,"Eemdijk 132–146, Eemdijk NL-Utrecht (52.2508,5.3180)",mallar3,5
2021/03/15,Netherlands,Wageningen--Egelsteeg,mallar3,7
2021/03/16,Netherlands,"2 Friesepad, Emmeloord, Flevoland, NL (52,74, 5,779)",mallar3,19
2021/03/17,Netherlands,Oosterhoogebrug,mallar3,4
2021/03/18,Netherlands,Wijchense Ven,mallar3,15
