date,windspeed
2024-01-01,21.6
2024-01-02,27.3
2024-01-03,37.2
2024-01-04,37.8
2024-01-05,34.9
2024-01-06,33.9
2024-01-07,30.8
2024-01-08,30.9
2024-01-09,12.6
2024-01-10,11.0
2024-01-11,15.0
2024-01-12,21.6
2024-01-13,36.5
2024-01-14,25.1
2024-01-15,30.9
2024-01-16,21.0
2024-01-17,28.1
2024-01-18,21.1
2024-01-19,33.7
2024-01-20,31.6
2024-01-21,30.3
2024-01-22,39.5
2024-01-23,37.0
2024-01-24,54.8
2024-01-25,46.0
2024-01-26,42.1
2024-01-27,30.2
2024-01-28,18.2
2024-01-29,18.0
2024-01-30,26.2
2024-01-31,41.0
2024-02-01,40.0
2024-02-02,35.6
2024-02-03,39.9
2024-02-04,41.0
2024-02-05,47.0
2024-02-06,43.0
2024-02-07,34.0
2024-02-08,21.3
2024-02-09,33.7
2024-02-10,29.6
2024-02-11,37.2
2024-02-12,24.0
2024-02-13,21.8
2024-02-14,13.6
2024-02-15,14.2
2024-02-16,25.7
2024-02-17,27.9
2024-02-18,22.7
2024-02-19,26.9
2024-02-20,26.8
2024-02-21,33.6
2024-02-22,21.9
2024-02-23,49.9
2024-02-24,17.7
2024-02-25,17.2
2024-02-26,15.1
2024-02-27,15.5
2024-02-28,16.0
2024-02-29,21.4
2024-03-01,15.6
2024-03-02,12.6
2024-03-03,20.5
2024-03-04,33.2
2024-03-05,33.0
2024-03-06,20.6
2024-03-07,24.1
2024-03-08,25.4
2024-03-09,35.8
2024-03-10,37.5
2024-03-11,36.1
2024-03-12,16.7
2024-03-13,19.7
2024-03-14,26.3
2024-03-15,21.0
2024-03-16,41.3
2024-03-17,20.4
2024-03-18,19.6
2024-03-19,17.5
2024-03-20,12.2
2024-03-21,20.8
2024-03-22,26.2
2024-03-23,33.0
2024-03-24,22.8
2024-03-25,21.2
2024-03-26,22.6
2024-03-27,18.4
2024-03-28,33.3
2024-03-29,20.3
2024-03-30,18.9
2024-03-31,12.9
2024-04-01,21.9
2024-04-02,36.0
2024-04-03,20.3
