date,coast,species_code,species_name,obs_freq,ind_count,windspeed
2024-09-23,West,mallar3,Mallard,0,0,9.0
2024-09-23,East,norsho,Northern Shoveler,0,0,9.0
2024-09-23,East,comeid,Common Eider,0,0,9.0
2024-09-23,East,commer,Common Merganser,0,0,9.0
2024-09-23,East,tufduc,Tufted Duck,0,0,9.0
2024-09-23,East,compocha,Common Pochard,0,0,9.0
2024-09-23,East,eurwig,Eurasian Wigeon,0,0,9.0
2024-09-23,East,gadwal1,Gadwall,0,0,9.0
2024-09-23,East,mallar3,Mallard,0,0,9.0
2024-09-23,East,norpin,Northern Pintail,0,0,9.0
2024-09-23,West,comeid,Common Eider,0,0,9.0
2024-09-23,West,commer,Common Merganser,0,0,9.0
2024-09-23,West,tufduc,Tufted Duck,0,0,9.0
2024-09-23,West,compocha,Common Pochard,0,0,9.0
2024-09-23,West,norpin,Northern Pintail,0,0,9.0
2024-09-23,West,eurwig,Eurasian Wigeon,0,0,9.0
2024-09-23,West,gadwal1,Gadwall,0,0,9.0
2024-09-23,West,norsho,Northern Shoveler,0,0,9.0
2024-11-07,East,gadwal1,Gadwall,0,0,9.3
2024-11-07,East,norsho,Northern Shoveler,0,0,9.3
2024-11-07,East,comeid,Common Eider,0,0,9.3
2024-11-07,East,commer,Common Merganser,0,0,9.3
2024-11-07,East,tufduc,Tufted Duck,0,0,9.3
2024-11-07,East,compocha,Common Pochard,0,0,9.3
2024-11-07,East,eurwig,Eurasian Wigeon,0,0,9.3
2024-11-07,East,mallar3,Mallard,0,0,9.3
2024-11-07,East,norpin,Northern Pintail,0,0,9.3
2024-11-07,West,comeid,Common Eider,0,0,9.3
2024-11-07,West,gadwal1,Gadwall,0,0,9.3
2024-11-07,West,eurwig,Eurasian Wigeon,0,0,9.3
2024-11-07,West,norpin,Northern Pintail,0,0,9.3
2024-11-07,West,mallar3,Mallard,0,0,9.3
2024-11-07,West,tufduc,Tufted Duck,0,0,9.3
2024-11-07,West,commer,Common Merganser,0,0,9.3
2024-11-07,West,compocha,Common Pochard,0,0,9.3
2024-11-07,West,norsho,Northern Shoveler,0,0,9.3
2024-12-27,East,norsho,Northern Shoveler,0,0,9.5
2024-12-27,East,mallar3,Mallard,1,1,9.5
2024-12-27,East,comeid,Common Eider,0,0,9.5
2024-12-27,East,commer,Common Merganser,1,1,9.5
2024-12-27,East,tufduc,Tufted Duck,1,1,9.5
2024-12-27,East,compocha,Common Pochard,0,0,9.5
